Textual Rating,Percentage
"Since January 2017, when Mr Trump assumed the presidency, 275 miles of wall along the border with Mexico has been completed, according to the latest US Customs and Border Protection report. However, most of that was to replace existing structures.",0.01
No evidence of this,0.01
Boehner left in 2015,0.01
Scholars say that’s generous,0.01
No evidence he asked,0.01
Said someone should try,0.01
Pledge undermined by actions,0.01
More to the story,0.01
Misses the full story,0.01
Roe grants federal right,0.01
Key metrics back it up,0.01
Law gives House leeway,0.01
This is misleading,0.02
Lie of the Year,0.01
Three claims refuted.,0.01
He was not legal,0.01
Evidence Russia really meddled,0.01
Courts may allow it,0.01
Not correct,0.01
Not that clear cut,0.01
"Filibuster, racism intertwined",0.01
Multiple figures confirm it,0.01
"Some are, but Biden isn't",0.01
A modest exaggeration,0.01
Leaves out key facts,0.01
U.S. depends on Russia,0.01
"Bill was not a ""game-changer""",0.01
Omits key facts,0.01
Undercut by evidence,0.01
Misleading on two counts,0.01
"Close, if not exact",0.01
Cherry-picked time frame,0.01
"Yes, nine schools cut",0.01
No evidence it happened,0.01
Omits patients diagnosed abroad,0.01
No he didn't,0.01
Roughly right,0.01
Schiff gave the gist,0.01
It helps and hurts,0.01
"Obama, not Trump, signed bill in question",0.01
"LBJ, among others, did more",0.01
Hard to pinpoint,0.01
That's part of the story,0.01
A fair summary,0.01
Speculative at best,0.01
"Close, unclear meaning",0.01
No proof,0.02
Yes. New reasons today,0.01
Not all equally restrictive,0.01
Not for older students,0.01
In the ballpark,0.01
It wasn't their deal,0.01
Leaves out key details,0.01
Experts say no link,0.01
No proof of causality,0.01
Affects a small group,0.01
False per Cato Institute.,0.01
No proof drugs fuel shootings,0.01
Doesn't say which call,0.01
Partially accurate.,0.01
Evidence is growing,0.01
Lacks Evidence,0.01
"Yes, but needs context",0.01
Most Experts Consider Legal,0.01
"No, not highest ever",0.01
Timing needs context,0.01
Not fact witness' job,0.01
Agree on weapons ban,0.01
Experts say concept is sound,0.01
Also means reallocation of funds,0.01
More words than action,0.01
Not all Southern states,0.01
Downplays the figure,0.01
Most of law still stands,0.01
"Big, but not biggest",0.01
"By raw dollars, not share of GDP",0.01
Not true,0.01
Newspaper didn't alter stories,0.01
Most show up,0.01
Misrepresents the record,0.01
Debunked talking point,0.01
"He's right, within limits",0.01
Vaccine one year away,0.01
Loaded language confuses issue,0.01
Lots more than that,0.01
Not What Volker Said,0.01
Mixed,0.01
Probably a typo,0.01
Employment and business losses have been large,0.01
"No way, experts agree",0.01
Ignores US GDP size,0.01
Accurate for territory,0.01
Inflates the numbers,0.01
Partly false,0.01
Exaggerates the number,0.01
Wrong label,0.01
Both share this position,0.01
Twitter fixed a glitch,0.01
Debunked by Snopes,0.01
Ignores military aid given,0.01
Biden did not mention travel ban,0.01
Slightly off,0.01
Not exactly,0.01
Other spending nears $200M,0.01
Extreme interpretation,0.01
Sondland cites names,0.01
Twists turn of speech,0.01
He's very close,0.01
Meeting was private,0.01
Wrong and biologically impossible,0.01
Support for claim unclear,0.01
This is an exaggeration,0.01
"OPEC, Russia roles are key",0.01
Depends on the year,0.01
Custom Text,0.01
Can still be deported,0.01
Many experts would disagree,0.01
Stunt ad makes false claim,0.01
Experts question wall impact,0.01
"Tests sent, not given",0.01
'Slip of the tongue',0.01
Hard to estimate early,0.01
No clear early evidence,0.01
"We can find no evidence to support this claim. Referring to the study, the US Centers for Disease Control said: ""The interpretation that more mask-wearers are getting infected compared to non-mask wearers is incorrect.""",0.01
Quickly corrected slip-up,0.01
Not provable,0.01
Ignores big spending bills,0.01
Unproven,0.02
Polls depend on wording,0.01
Not an Obama person,0.01
Possible but far from certain,0.01
He heard from Mueller,0.01
Most not considered permanent,0.01
Ballots sent to both parties,0.01
Trump gave no details.,0.01
Both claims are False,0.01
Deleted post,0.01
Cherry picked half truths,0.01
Not locked out,0.01
Experts say risk unknown,0.01
Not wall Trump promised,0.01
More adding paper based,0.01
Wrong in several ways,0.01
This is False,0.01
Lacks solid numbers,0.01
Selective examples,0.01
Trump can’t delay election,0.01
We track ethics reversal,0.01
"This is misleading. It's true that - since April 2020 - there have been nine million people added to the US payroll, according to the US Bureau for Labor Statistics. But what Mr Trump didn't mention was that this rise followed a much bigger loss of 22 million people from the payroll in March, when measures to tackle the pandemic were introduced.",0.01
Depends on definition,0.01
Not able to verify,0.01
Personal tweet taken down,0.01
Lawsuit pending,0.01
Many promises hanging,0.01
Not settled science,0.01
Isn't true for LEDs,0.01
Claim misses policy nuances,0.01
Disputed by local officials,0.01
Not a landslide,0.01
Still wrong,0.01
"True, but needs context",0.01
Most legal experts agree,0.01
Cherry-picked,0.01
Already trending up,0.01
Ad watch,0.01
He had sons,0.01
Oversimplifies,0.01
Disputed Claim,0.01
"Limited, disputed evidence",0.01
This is accurate.,0.02
Right on jobs,0.01
Not clear if it's the beginning of a trend,0.01
Not even best in U.S. history,0.01
Phrase evokes police brutality,0.01
Cuts overall spending too,0.01
Still lower than 1990s,0.01
Some data show rise,0.01
Greatly oversold,0.01
Deal actually isn’t binding,0.01
They're not strangers,0.02
U.S. ranks near bottom,0.01
Not night vs. day,0.01
Chant is routine,0.01
Program wasn't fully running,0.01
Refers to late stages,0.01
Also didn't say no,0.01
Earlier scores were weak,0.01
Matches a previous high,0.01
This is wrong.,0.02
Correct about grand juries,0.01
State Police were prepared,0.01
Not a coup,0.01
Claim has notable support,0.01
Best we can tell,0.01
Wrong explanation,0.01
Vetted by State Dept.,0.01
Cost is in flux,0.01
Unlikely but possible,0.01
Effect not clear,0.01
Trump tweeted about Trudeau,0.01
New data says so,0.01
Words spliced together,0.01
Ignores evidence,0.01
Many church leaders said Bible was used as a prop.,0.01
"No fight, just policy",0.01
Known since 2008,0.01
Critical value varies,0.01
Probe predated vote,0.01
"Yes, but general comments",0.01
Wrong.,0.01
They agreed sometimes,0.01
Not backing free housing,0.01
History poses big hurdle,0.01
2018 tweet touted spikes,0.01
He gave to GOPers,0.01
This needs context.,0.01
Left years before election,0.01
A sizable rounding error,0.01
GOP never kicked out,0.01
Trump likely has wiggle room,0.01
"U.S. citizens, green card holders not banned",0.01
"Mostly from Syria, Iraq",0.01
That's accurate,0.01
True but didn't coin,0.01
Distorts the record,0.01
CDC range is lower,0.01
This is unproven,0.01
"Edited, out of context",0.01
Never reached North America,0.01
Category 4 not 5,0.01
"EU, not Ukraine",0.01
Wages have risen modestly,0.01
D-minus in 2012 from NRA’s political action committee,0.01
Mostly right,0.01
Both back study only,0.01
evidence stacked against campaign,0.01
The law says that,0.01
Admits it's not true,0.01
Had seat at table,0.01
Omits key caveats,0.01
Not likely to work,0.01
Basically correct,0.01
GOP policy is weaker,0.01
They're going up,0.01
Document doesn't prove hoax,0.01
Unclear,0.01
Rule not being enforced,0.01
Rebuilds take years,0.01
"Fauci, eight experts disagree",0.01
Judge rejected bias claims,0.01
"Thanks to ""extra"" doses in vial",0.01
"Not landslide, different process",0.01
History says wrong,0.01
Coverage has limits,0.01
Scientists say it’s not,0.01
Requires more context,0.01
Doctored,0.01
"Strain, but checks continue",0.01
Didn't use that word,0.01
Floated having someone run,0.01
It's an online hoax,0.01
Reached lows under Trump,0.01
Misrepresents what they said,0.01
True for total vote counts,0.01
An inflated figure,0.01
Many guns still allowed,0.01
Fair summary,0.01
Ignores facts,0.01
Fifth largest export market,0.01
Frequent attack needs context,0.01
By Some Counts Yes,0.01
Salary not only factor,0.01
Over the top rhetoric,0.01
Revenues might fall short,0.01
Exaggerated,0.03
"There weren't ""none""",0.01
Studies are a mixed bag,0.01
They didn’t decertify.,0.01
"Slow gains, but gains",0.01
Obama Called in 2012,0.02
Not what experts say,0.01
"He can't, experts say",0.01
DNI data backs claim,0.01
This is misleading.,0.01
Misleads in several ways,0.01
false,0.01
Wouldn't free violent criminals,0.01
DNC didn't direct,0.01
Twisted history,0.01
Not at the border,0.01
Tough promise to keep,0.01
Probe had wider scope,0.01
"Bad history, fuzzy budget",0.01
Pricew reflect too high supply,0.01
"Ignores extremist groups, violence",0.01
Not exactly right,0.01
Mixed results,0.01
Children may be last,0.01
They've sent mixed messages,0.01
Double count,0.01
"Partly right, needs context",0.01
Hard to verify,0.01
Met 8 of 16,0.01
"Correct on 2016, Trump",0.01
Most comments came early,0.01
Needs clarity,0.01
Found guilty by jury,0.01
Vote delayed,0.01
China among the culprits,0.01
Hasn't said why,0.01
Free travel isn't the only right,0.01
No proof this happened,0.01
Research shows otherwise,0.01
See what courts say,0.01
Many private sales exempt,0.01
Ban placed Jan. 31,0.01
Courts could stop it,0.01
Not nearly that much,0.01
"Yes, with ""rare"" exceptions",0.01
Easily beats the market,0.01
"So far, it looks like it",0.01
Lots of context needed,0.01
Overlooks LEDs,0.01
Paints protesters with broad brush,0.01
Wrong in two ways,0.01
Mostly entered before Obama,0.01
An accurate count,0.01
